Exit_Time,Cumulative,Daily_Return,Cumulative_Max,Drawdown
2023-05-03,122440.42166999998,-0.0015107170741507359,137555.00393500002,-0.10988027939821254
2023-05-04,122080.67531999998,-0.0029381338702800797,137555.00393500002,-0.1124955702979169
2023-05-05,122080.67531999998,0.0,137555.00393500002,-0.1124955702979169
2023-05-06,122080.67531999998,0.0,137555.00393500002,-0.1124955702979169
2023-05-07,122315.49637,0.001923490752197221,137555.00393500002,-0.11078846373485085
2023-05-08,122242.13611999998,-0.0005997625172373677,137555.00393500002,-0.11132177948419786
2023-05-09,122242.13611999998,0.0,137555.00393500002,-0.11132177948419786
2023-05-10,122242.13611999998,0.0,137555.00393500002,-0.11132177948419786
2023-05-11,122242.13611999998,0.0,137555.00393500002,-0.11132177948419786
2023-05-12,122242.13611999998,0.0,137555.00393500002,-0.11132177948419786
2023-05-13,122242.13611999998,0.0,137555.00393500002,-0.11132177948419786
2023-05-14,122242.13611999998,0.0,137555.00393500002,-0.11132177948419786
2023-05-15,122242.13611999998,0.0,137555.00393500002,-0.11132177948419786
2023-05-16,122242.13611999998,0.0,137555.00393500002,-0.11132177948419786
2023-05-17,122075.17716999998,-0.001365805239497031,137555.00393500002,-0.11253554085400519
2023-05-18,121868.86121999999,-0.0016900729106678058,137555.00393500002,-0.11403542049558824
2023-05-19,121786.80157,-0.0006733438646961964,137555.00393500002,-0.11463197930953561
2023-05-20,121786.80157,0.0,137555.00393500002,-0.11463197930953561
2023-05-21,121786.80157,0.0,137555.00393500002,-0.11463197930953561
2023-05-22,121786.80157,0.0,137555.00393500002,-0.11463197930953561
2023-05-23,121786.80157,0.0,137555.00393500002,-0.11463197930953561
2023-05-24,122074.91576999999,0.0023657259759333193,137555.00393500002,-0.11253744118472753
2023-05-25,122074.91576999999,0.0,137555.00393500002,-0.11253744118472753
2023-05-26,122074.91576999999,0.0,137555.00393500002,-0.11253744118472753
2023-05-27,122074.91576999999,0.0,137555.00393500002,-0.11253744118472753
2023-05-28,122074.91576999999,0.0,137555.00393500002,-0.11253744118472753
2023-05-29,122074.91576999999,0.0,137555.00393500002,-0.11253744118472753
